Conc(uM),Cell_Line,Cell_Viability,Plate#
10.41,10336,1.19563,1.1
3.123,10336,1.133195,1.1
1.041,10336,1.125911,1.1
0.3123,10336,1.069719,1.1
0.1041,10336,1.069719,1.1
0.03123,10336,0.989594,1.1
0.01041,10336,1.068678,1.1
0.003123,10336,1.044745,1.1
0.001041,10336,1.077003,1.1
0.0003123,10336,0.835588,1.1
0.0001041,10336,0.987513,1.1
3.12E-05,10336,1.01769,1.1
1.04E-05,10336,1.156087,1.1
10.41,10336,1.131263,1.2
3.123,10336,1.082164,1.2
1.041,10336,1.136273,1.2
0.3123,10336,1.038076,1.2
0.1041,10336,1.089178,1.2
0.03123,10336,1.083166,1.2
0.01041,10336,1.032064,1.2
0.003123,10336,0.962926,1.2
0.001041,10336,1.096192,1.2
0.0003123,10336,0.877756,1.2
0.0001041,10336,0.972946,1.2
3.12E-05,10336,0.90481,1.2
1.04E-05,10336,1.129259,1.2
10.41,10336,1.062557,1.3
3.123,10336,1.010879,1.3
1.041,10336,1.023572,1.3
0.3123,10336,0.933817,1.3
0.1041,10336,1.013599,1.3
0.03123,10336,0.958296,1.3
0.01041,10336,0.824116,1.3
0.003123,10336,0.941976,1.3
0.001041,10336,0.99728,1.3
0.0003123,10336,0.798731,1.3
0.0001041,10336,0.783318,1.3
3.12E-05,10336,0.963735,1.3
1.04E-05,10336,1.065277,1.3
10.41,10336,1.045086,1.4
3.123,10336,1.073039,1.4
1.041,10336,0.977457,1.4
0.3123,10336,1.093778,1.4
0.1041,10336,0.969342,1.4
0.03123,10336,0.81064,1.4
0.01041,10336,0.870153,1.4
0.003123,10336,0.880072,1.4
0.001041,10336,0.899008,1.4
0.0003123,10336,0.784491,1.4
0.0001041,10336,0.984671,1.4
3.12E-05,10336,0.946799,1.4
1.04E-05,10336,1.08927,1.4
10.41,10336,1.208374,1.5
3.123,10336,1.093476,1.5
1.041,10336,1.126582,1.5
0.3123,10336,1.030185,1.5
0.1041,10336,1.105161,1.5
0.03123,10336,0.986368,1.5
0.01041,10336,1.045764,1.5
0.003123,10336,1.05258,1.5
0.001041,10336,1.06037,1.5
0.0003123,10336,0.866602,1.5
0.0001041,10336,0.963973,1.5
3.12E-05,10336,1.050633,1.5
1.04E-05,10336,1.144109,1.5
10.41,10336,0.983392,1.6
3.123,10336,0.957168,1.6
1.041,10336,0.931818,1.6
0.3123,10336,0.987762,1.6
0.1041,10336,0.922203,1.6
0.03123,10336,0.912587,1.6
0.01041,10336,0.906469,1.6
0.003123,10336,0.868881,1.6
0.001041,10336,1.012238,1.6
0.0003123,10336,0.804196,1.6
0.0001041,10336,0.880245,1.6
3.12E-05,10336,0.95542,1.6
1.04E-05,10336,0.992133,1.6
10.41,10004,0.397781,1.1
3.123,10004,0.470681,1.1
1.041,10004,0.486529,1.1
0.3123,10004,0.424723,1.1
0.1041,10004,0.40729,1.1
0.03123,10004,0.456418,1.1
0.01041,10004,0.494453,1.1
0.003123,10004,0.494453,1.1
0.001041,10004,0.59588,1.1
